Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.045511627e+02
2,1419404347.826087,-1.045301514e+02
3,1419408695.652174,-1.046321793e+02
4,1419413043.478261,-1.045548172e+02
5,1419417391.304348,-1.045790482e+02
6,1419421739.130435,-1.045939865e+02
7,1419426086.956522,-1.046450195e+02
8,1419430434.782609,-1.046061478e+02
9,1419434782.608696,-1.045589218e+02
10,1419439130.434783,-1.045329437e+02
11,1419443478.260870,-1.045017853e+02
12,1419447826.086957,-1.045866470e+02
13,1419452173.913043,-1.045394821e+02
14,1419456521.739130,-1.045827713e+02
15,1419460869.565217,-1.045634842e+02
16,1419465217.391304,-1.046118851e+02
17,1419469565.217391,-1.045406418e+02
18,1419473913.043478,-1.045647736e+02
19,1419478260.869565,-1.045281982e+02
20,1419482608.695652,-1.045786438e+02
21,1419486956.521739,-1.045388031e+02
22,1419491304.347826,-1.044736328e+02
23,1419495652.173913,-1.045110245e+02
24,1419500000.000000,-1.045056229e+02
25,1419504347.826087,-1.046174393e+02
26,1419508695.652174,-1.045855179e+02
27,1419513043.478261,-1.046228256e+02
28,1419517391.304348,-1.045296478e+02
29,1419521739.130435,-1.045169754e+02
30,1419526086.956522,-1.045920486e+02
31,1419530434.782609,-1.046238480e+02
32,1419534782.608696,-1.046566238e+02
33,1419539130.434783,-1.046231766e+02
34,1419543478.260870,-1.046473160e+02
35,1419547826.086957,-1.045979996e+02
36,1419552173.913043,-1.045190277e+02
37,1419556521.739130,-1.044897766e+02
38,1419560869.565217,-1.045378342e+02
39,1419565217.391304,-1.045020370e+02
40,1419569565.217391,-1.045589066e+02
41,1419573913.043478,-1.045412827e+02
42,1419578260.869565,-1.045614319e+02
43,1419582608.695652,-1.045233002e+02
44,1419586956.521739,-1.045643082e+02
45,1419591304.347826,-1.045223846e+02
46,1419595652.173913,-1.046366501e+02
47,1419600000.000000,-1.045918274e+02
48,1419604347.826087,-1.045263290e+02
49,1419608695.652174,-1.045179367e+02
50,1419613043.478261,-1.045669098e+02
51,1419617391.304348,-1.045096893e+02
52,1419621739.130435,-1.045940170e+02
53,1419626086.956522,-1.046376953e+02
54,1419630434.782609,-1.047244034e+02
55,1419634782.608696,-1.045685959e+02
56,1419639130.434783,-1.045780487e+02
57,1419643478.260870,-1.045516968e+02
58,1419647826.086957,-1.045167007e+02
59,1419652173.913043,-1.045438309e+02
60,1419656521.739130,-1.046682663e+02
61,1419660869.565217,-1.046914368e+02
62,1419665217.391304,-1.046262283e+02
63,1419669565.217391,-1.046654129e+02
64,1419673913.043478,-1.045721512e+02
65,1419678260.869565,-1.046052170e+02
66,1419682608.695652,-1.045837631e+02
67,1419686956.521739,-1.045391998e+02
68,1419691304.347826,-1.045704727e+02
69,1419695652.173913,-1.046513519e+02
70,1419700000.000000,-1.046736450e+02
71,1419704347.826087,-1.046577148e+02
72,1419708695.652174,-1.045674515e+02
73,1419713043.478261,-1.045956497e+02
74,1419717391.304348,-1.045680161e+02
75,1419721739.130435,-1.046232224e+02
76,1419726086.956522,-1.046188889e+02
77,1419730434.782609,-1.045743637e+02
78,1419734782.608696,-1.045284653e+02
79,1419739130.434783,-1.045613632e+02
80,1419743478.260870,-1.045950317e+02
81,1419747826.086957,-1.045326385e+02
82,1419752173.913043,-1.045821762e+02
83,1419756521.739130,-1.045872345e+02
84,1419760869.565217,-1.045990372e+02
85,1419765217.391304,-1.045728989e+02
86,1419769565.217391,-1.046760864e+02
87,1419773913.043478,-1.046037674e+02
88,1419778260.869565,-1.045447311e+02
89,1419782608.695652,-1.046370316e+02
90,1419786956.521739,-1.046362762e+02
91,1419791304.347826,-1.045547180e+02
92,1419795652.173913,-1.045872498e+02
93,1419800000.000000,-1.045372696e+02
94,1419804347.826087,-1.045384445e+02
95,1419808695.652174,-1.044327545e+02
96,1419813043.478261,-1.045064926e+02
97,1419817391.304348,-1.045567322e+02
98,1419821739.130435,-1.046302795e+02
99,1419826086.956522,-1.046293564e+02
100,1419830434.782609,-1.045224915e+02
101,1419834782.608696,-1.044829178e+02
102,1419839130.434783,-1.044967422e+02
103,1419843478.260870,-1.046183929e+02
104,1419847826.086957,-1.045934067e+02
105,1419852173.913043,-1.045360641e+02
106,1419856521.739130,-1.045596085e+02
107,1419860869.565217,-1.046602249e+02
108,1419865217.391304,-1.046491013e+02
109,1419869565.217391,-1.045606384e+02
110,1419873913.043478,-1.045217896e+02
111,1419878260.869565,-1.046269913e+02
112,1419882608.695652,-1.045311890e+02
113,1419886956.521739,-1.044387360e+02
114,1419891304.347826,-1.044621124e+02
115,1419895652.173913,-1.045677338e+02
116,1419900000.000000,-1.044761963e+02
117,1419904347.826087,-1.045017700e+02
118,1419908695.652174,-1.044843369e+02
119,1419913043.478261,-1.044880905e+02
120,1419917391.304348,-1.045327682e+02
121,1419921739.130435,-1.046213379e+02
122,1419926086.956522,-1.045859985e+02
123,1419930434.782609,-1.045708618e+02
124,1419934782.608696,-1.045956192e+02
125,1419939130.434783,-1.045325470e+02
126,1419943478.260870,-1.045997620e+02
127,1419947826.086957,-1.045521469e+02
128,1419952173.913043,-1.044941177e+02
129,1419956521.739130,-1.044611588e+02
130,1419960869.565217,-1.045416641e+02
131,1419965217.391304,-1.045876007e+02
132,1419969565.217391,-1.045332642e+02
133,1419973913.043478,-1.045849686e+02
134,1419978260.869565,-1.044804001e+02
135,1419982608.695652,-1.044334335e+02
136,1419986956.521739,-1.044470139e+02
137,1419991304.347826,-1.043783264e+02
138,1419995652.173913,-1.043039017e+02
139,1420000000.000000,-1.043539200e+02
140,1420004347.826087,-1.044125519e+02
141,1420008695.652174,-1.043636093e+02
142,1420013043.478261,-1.043477707e+02
143,1420017391.304348,-1.043329315e+02
144,1420021739.130435,-1.042998505e+02
145,1420026086.956522,-1.041929398e+02
146,1420030434.782609,-1.041834335e+02
147,1420034782.608696,-1.042043381e+02
148,1420039130.434783,-1.042292786e+02
149,1420043478.260870,-1.041244583e+02
150,1420047826.086957,-1.041334305e+02
151,1420052173.913043,-1.041169128e+02
152,1420056521.739130,-1.039443741e+02
153,1420060869.565217,-1.039716873e+02
154,1420065217.391304,-1.039353714e+02
155,1420069565.217391,-1.039230804e+02
156,1420073913.043478,-1.038863297e+02
157,1420078260.869565,-1.038398514e+02
158,1420082608.695652,-1.037862320e+02
159,1420086956.521739,-1.037999420e+02
160,1420091304.347826,-1.037176285e+02
161,1420095652.173913,-1.036960068e+02
162,1420100000.000000,-1.036808090e+02
163,1420104347.826087,-1.035814438e+02
164,1420108695.652174,-1.035938950e+02
165,1420113043.478261,-1.036004181e+02
166,1420117391.304348,-1.035981598e+02
167,1420121739.130435,-1.035797729e+02
168,1420126086.956522,-1.035970612e+02
169,1420130434.782609,-1.035644150e+02
170,1420134782.608696,-1.034935455e+02
171,1420139130.434783,-1.035342102e+02
172,1420143478.260870,-1.034495468e+02
173,1420147826.086957,-1.035098038e+02
174,1420152173.913043,-1.035450058e+02
175,1420156521.739130,-1.035454483e+02
176,1420160869.565217,-1.036440735e+02
177,1420165217.391304,-1.036698227e+02
178,1420169565.217391,-1.036285477e+02
179,1420173913.043478,-1.035853119e+02
180,1420178260.869565,-1.035667725e+02
181,1420182608.695652,-1.035826721e+02
182,1420186956.521739,-1.035022202e+02
183,1420191304.347826,-1.034596024e+02
