Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.045705109e+02
2,1419404347.826087,-1.045051651e+02
3,1419408695.652174,-1.045839996e+02
4,1419413043.478261,-1.045732727e+02
5,1419417391.304348,-1.045223923e+02
6,1419421739.130435,-1.045846100e+02
7,1419426086.956522,-1.045694351e+02
8,1419430434.782609,-1.045529938e+02
9,1419434782.608696,-1.045181961e+02
10,1419439130.434783,-1.046320343e+02
11,1419443478.260870,-1.046750031e+02
12,1419447826.086957,-1.046491547e+02
13,1419452173.913043,-1.047436295e+02
14,1419456521.739130,-1.045841064e+02
15,1419460869.565217,-1.047145691e+02
16,1419465217.391304,-1.046801147e+02
17,1419469565.217391,-1.046623535e+02
18,1419473913.043478,-1.046751404e+02
19,1419478260.869565,-1.045978546e+02
20,1419482608.695652,-1.045140381e+02
21,1419486956.521739,-1.047149963e+02
22,1419491304.347826,-1.046650467e+02
23,1419495652.173913,-1.047210464e+02
24,1419500000.000000,-1.047349625e+02
25,1419504347.826087,-1.046873779e+02
26,1419508695.652174,-1.046979752e+02
27,1419513043.478261,-1.045981140e+02
28,1419517391.304348,-1.046345673e+02
29,1419521739.130435,-1.046552734e+02
30,1419526086.956522,-1.046434250e+02
31,1419530434.782609,-1.047021179e+02
32,1419534782.608696,-1.045721893e+02
33,1419539130.434783,-1.046743317e+02
34,1419543478.260870,-1.047251511e+02
35,1419547826.086957,-1.047435303e+02
36,1419552173.913043,-1.047497406e+02
37,1419556521.739130,-1.047636642e+02
38,1419560869.565217,-1.047897720e+02
39,1419565217.391304,-1.048331680e+02
40,1419569565.217391,-1.047967987e+02
41,1419573913.043478,-1.047820129e+02
42,1419578260.869565,-1.047187881e+02
43,1419582608.695652,-1.046929474e+02
44,1419586956.521739,-1.046599350e+02
45,1419591304.347826,-1.046831894e+02
46,1419595652.173913,-1.046483383e+02
47,1419600000.000000,-1.046219254e+02
48,1419604347.826087,-1.046139755e+02
49,1419608695.652174,-1.046525421e+02
50,1419613043.478261,-1.046784363e+02
51,1419617391.304348,-1.046145706e+02
52,1419621739.130435,-1.047191620e+02
53,1419626086.956522,-1.046448746e+02
54,1419630434.782609,-1.046254501e+02
55,1419634782.608696,-1.046583252e+02
56,1419639130.434783,-1.046063995e+02
57,1419643478.260870,-1.045637741e+02
58,1419647826.086957,-1.045852814e+02
59,1419652173.913043,-1.045838623e+02
60,1419656521.739130,-1.046910782e+02
61,1419660869.565217,-1.045861969e+02
62,1419665217.391304,-1.046733704e+02
63,1419669565.217391,-1.045326462e+02
64,1419673913.043478,-1.045730057e+02
65,1419678260.869565,-1.046395111e+02
66,1419682608.695652,-1.046165161e+02
67,1419686956.521739,-1.046984482e+02
68,1419691304.347826,-1.047183380e+02
69,1419695652.173913,-1.045232620e+02
70,1419700000.000000,-1.045497284e+02
71,1419704347.826087,-1.045653610e+02
72,1419708695.652174,-1.046172638e+02
73,1419713043.478261,-1.046227112e+02
74,1419717391.304348,-1.046603622e+02
75,1419721739.130435,-1.046920853e+02
76,1419726086.956522,-1.046327972e+02
77,1419730434.782609,-1.045875473e+02
78,1419734782.608696,-1.046399460e+02
79,1419739130.434783,-1.045959625e+02
80,1419743478.260870,-1.046438904e+02
81,1419747826.086957,-1.046729126e+02
82,1419752173.913043,-1.047422028e+02
83,1419756521.739130,-1.046902161e+02
84,1419760869.565217,-1.046730728e+02
85,1419765217.391304,-1.046430817e+02
86,1419769565.217391,-1.046353378e+02
87,1419773913.043478,-1.046473389e+02
88,1419778260.869565,-1.047519989e+02
89,1419782608.695652,-1.046969986e+02
90,1419786956.521739,-1.047182999e+02
91,1419791304.347826,-1.047390289e+02
92,1419795652.173913,-1.045972595e+02
93,1419800000.000000,-1.046421890e+02
94,1419804347.826087,-1.046681671e+02
95,1419808695.652174,-1.047233810e+02
96,1419813043.478261,-1.046454239e+02
97,1419817391.304348,-1.045522385e+02
98,1419821739.130435,-1.046288910e+02
99,1419826086.956522,-1.045682678e+02
100,1419830434.782609,-1.047098618e+02
101,1419834782.608696,-1.045747833e+02
102,1419839130.434783,-1.046610641e+02
103,1419843478.260870,-1.046662598e+02
104,1419847826.086957,-1.045857697e+02
105,1419852173.913043,-1.047486267e+02
106,1419856521.739130,-1.046261902e+02
107,1419860869.565217,-1.046092682e+02
108,1419865217.391304,-1.045262680e+02
109,1419869565.217391,-1.045854950e+02
110,1419873913.043478,-1.046262665e+02
111,1419878260.869565,-1.046075897e+02
112,1419882608.695652,-1.046194763e+02
113,1419886956.521739,-1.046244965e+02
114,1419891304.347826,-1.046265182e+02
115,1419895652.173913,-1.046689529e+02
116,1419900000.000000,-1.046309509e+02
117,1419904347.826087,-1.046683502e+02
118,1419908695.652174,-1.045003052e+02
119,1419913043.478261,-1.047139435e+02
120,1419917391.304348,-1.046462402e+02
121,1419921739.130435,-1.046452942e+02
122,1419926086.956522,-1.046807632e+02
123,1419930434.782609,-1.045908890e+02
124,1419934782.608696,-1.046950378e+02
125,1419939130.434783,-1.046766968e+02
126,1419943478.260870,-1.047509308e+02
127,1419947826.086957,-1.046516647e+02
128,1419952173.913043,-1.046585388e+02
129,1419956521.739130,-1.046518784e+02
130,1419960869.565217,-1.047077713e+02
131,1419965217.391304,-1.045813522e+02
132,1419969565.217391,-1.045490952e+02
133,1419973913.043478,-1.046766663e+02
134,1419978260.869565,-1.046021271e+02
135,1419982608.695652,-1.045939865e+02
136,1419986956.521739,-1.046222534e+02
137,1419991304.347826,-1.046270218e+02
138,1419995652.173913,-1.045522232e+02
139,1420000000.000000,-1.046169739e+02
140,1420004347.826087,-1.045932922e+02
141,1420008695.652174,-1.045732269e+02
142,1420013043.478261,-1.045989532e+02
143,1420017391.304348,-1.046121292e+02
144,1420021739.130435,-1.045080872e+02
145,1420026086.956522,-1.044833908e+02
146,1420030434.782609,-1.043907318e+02
147,1420034782.608696,-1.042949905e+02
148,1420039130.434783,-1.043286972e+02
149,1420043478.260870,-1.042882156e+02
150,1420047826.086957,-1.041746750e+02
151,1420052173.913043,-1.040959167e+02
152,1420056521.739130,-1.040537033e+02
153,1420060869.565217,-1.039766388e+02
154,1420065217.391304,-1.039855652e+02
155,1420069565.217391,-1.040150223e+02
156,1420073913.043478,-1.039254227e+02
157,1420078260.869565,-1.038064423e+02
158,1420082608.695652,-1.038350601e+02
159,1420086956.521739,-1.037480774e+02
160,1420091304.347826,-1.036036453e+02
161,1420095652.173913,-1.035661240e+02
162,1420100000.000000,-1.035054092e+02
163,1420104347.826087,-1.034829636e+02
164,1420108695.652174,-1.034749832e+02
165,1420113043.478261,-1.033975067e+02
166,1420117391.304348,-1.034072723e+02
167,1420121739.130435,-1.033690720e+02
168,1420126086.956522,-1.034665070e+02
169,1420130434.782609,-1.033093948e+02
170,1420134782.608696,-1.033224792e+02
171,1420139130.434783,-1.033283005e+02
172,1420143478.260870,-1.032904053e+02
173,1420147826.086957,-1.033055267e+02
174,1420152173.913043,-1.032882614e+02
175,1420156521.739130,-1.033029480e+02
176,1420160869.565217,-1.033214417e+02
177,1420165217.391304,-1.032601013e+02
178,1420169565.217391,-1.032459641e+02
179,1420173913.043478,-1.032455368e+02
180,1420178260.869565,-1.032857513e+02
181,1420182608.695652,-1.033119659e+02
182,1420186956.521739,-1.033568268e+02
183,1420191304.347826,-1.034133759e+02
