Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-100.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.041289215e+02
2,1419404347.826087,-1.042192383e+02
3,1419408695.652174,-1.041632156e+02
4,1419413043.478261,-1.041771088e+02
5,1419417391.304348,-1.041570587e+02
6,1419421739.130435,-1.040689392e+02
7,1419426086.956522,-1.040802917e+02
8,1419430434.782609,-1.041546783e+02
9,1419434782.608696,-1.041216202e+02
10,1419439130.434783,-1.041463928e+02
11,1419443478.260870,-1.042125244e+02
12,1419447826.086957,-1.041653366e+02
13,1419452173.913043,-1.042071838e+02
14,1419456521.739130,-1.041994324e+02
15,1419460869.565217,-1.041331253e+02
16,1419465217.391304,-1.041923447e+02
17,1419469565.217391,-1.042776337e+02
18,1419473913.043478,-1.042175293e+02
19,1419478260.869565,-1.043325119e+02
20,1419482608.695652,-1.042232590e+02
21,1419486956.521739,-1.042847595e+02
22,1419491304.347826,-1.041927567e+02
23,1419495652.173913,-1.042269897e+02
24,1419500000.000000,-1.043423386e+02
25,1419504347.826087,-1.042944870e+02
26,1419508695.652174,-1.042873535e+02
27,1419513043.478261,-1.042993240e+02
28,1419517391.304348,-1.042746201e+02
29,1419521739.130435,-1.042813034e+02
30,1419526086.956522,-1.041940079e+02
31,1419530434.782609,-1.042287292e+02
32,1419534782.608696,-1.043286591e+02
33,1419539130.434783,-1.042420120e+02
34,1419543478.260870,-1.042020569e+02
35,1419547826.086957,-1.042137756e+02
36,1419552173.913043,-1.041813431e+02
37,1419556521.739130,-1.042025375e+02
38,1419560869.565217,-1.042909088e+02
39,1419565217.391304,-1.042621460e+02
40,1419569565.217391,-1.041690903e+02
41,1419573913.043478,-1.042519913e+02
42,1419578260.869565,-1.043144913e+02
43,1419582608.695652,-1.043163376e+02
44,1419586956.521739,-1.042435913e+02
45,1419591304.347826,-1.043365860e+02
46,1419595652.173913,-1.041809540e+02
47,1419600000.000000,-1.042682724e+02
48,1419604347.826087,-1.040977783e+02
49,1419608695.652174,-1.041905289e+02
50,1419613043.478261,-1.041471786e+02
51,1419617391.304348,-1.041760864e+02
52,1419621739.130435,-1.041554871e+02
53,1419626086.956522,-1.042750397e+02
54,1419630434.782609,-1.042899017e+02
55,1419634782.608696,-1.042184753e+02
56,1419639130.434783,-1.041095886e+02
57,1419643478.260870,-1.041604614e+02
58,1419647826.086957,-1.043293228e+02
59,1419652173.913043,-1.042368774e+02
60,1419656521.739130,-1.042137833e+02
61,1419660869.565217,-1.041721649e+02
62,1419665217.391304,-1.041971817e+02
63,1419669565.217391,-1.041778870e+02
64,1419673913.043478,-1.041959305e+02
65,1419678260.869565,-1.042383347e+02
66,1419682608.695652,-1.041823959e+02
67,1419686956.521739,-1.042417374e+02
68,1419691304.347826,-1.043013611e+02
69,1419695652.173913,-1.041876831e+02
70,1419700000.000000,-1.042450485e+02
71,1419704347.826087,-1.042238693e+02
72,1419708695.652174,-1.042112885e+02
73,1419713043.478261,-1.041592941e+02
74,1419717391.304348,-1.041433487e+02
75,1419721739.130435,-1.041987686e+02
76,1419726086.956522,-1.042833710e+02
77,1419730434.782609,-1.042279968e+02
78,1419734782.608696,-1.041927719e+02
79,1419739130.434783,-1.041479874e+02
80,1419743478.260870,-1.042426529e+02
81,1419747826.086957,-1.042330093e+02
82,1419752173.913043,-1.041967773e+02
83,1419756521.739130,-1.041894150e+02
84,1419760869.565217,-1.041860733e+02
85,1419765217.391304,-1.041201859e+02
86,1419769565.217391,-1.041254044e+02
87,1419773913.043478,-1.041430893e+02
88,1419778260.869565,-1.041424637e+02
89,1419782608.695652,-1.040871277e+02
90,1419786956.521739,-1.041178513e+02
91,1419791304.347826,-1.042054825e+02
92,1419795652.173913,-1.042363205e+02
93,1419800000.000000,-1.042316360e+02
94,1419804347.826087,-1.042575912e+02
95,1419808695.652174,-1.041877213e+02
96,1419813043.478261,-1.042232132e+02
97,1419817391.304348,-1.043171310e+02
98,1419821739.130435,-1.041293106e+02
99,1419826086.956522,-1.041795883e+02
100,1419830434.782609,-1.042364044e+02
101,1419834782.608696,-1.042097092e+02
102,1419839130.434783,-1.042850647e+02
103,1419843478.260870,-1.042169266e+02
104,1419847826.086957,-1.042877579e+02
105,1419852173.913043,-1.041503143e+02
106,1419856521.739130,-1.041381226e+02
107,1419860869.565217,-1.041515274e+02
108,1419865217.391304,-1.041058197e+02
109,1419869565.217391,-1.040686111e+02
110,1419873913.043478,-1.042144470e+02
111,1419878260.869565,-1.041731491e+02
112,1419882608.695652,-1.041873322e+02
113,1419886956.521739,-1.042905579e+02
114,1419891304.347826,-1.042594223e+02
115,1419895652.173913,-1.042868500e+02
116,1419900000.000000,-1.043401108e+02
117,1419904347.826087,-1.042245255e+02
118,1419908695.652174,-1.041909103e+02
119,1419913043.478261,-1.042730408e+02
120,1419917391.304348,-1.042202835e+02
121,1419921739.130435,-1.042066193e+02
122,1419926086.956522,-1.042026291e+02
123,1419930434.782609,-1.041905823e+02
124,1419934782.608696,-1.041936951e+02
125,1419939130.434783,-1.041214142e+02
126,1419943478.260870,-1.042601700e+02
127,1419947826.086957,-1.042438126e+02
128,1419952173.913043,-1.042248154e+02
129,1419956521.739130,-1.041876907e+02
130,1419960869.565217,-1.041760254e+02
131,1419965217.391304,-1.042374039e+02
132,1419969565.217391,-1.042557144e+02
133,1419973913.043478,-1.041912384e+02
134,1419978260.869565,-1.042583771e+02
135,1419982608.695652,-1.043139420e+02
136,1419986956.521739,-1.042617188e+02
137,1419991304.347826,-1.042042847e+02
138,1419995652.173913,-1.042728577e+02
139,1420000000.000000,-1.041486740e+02
140,1420004347.826087,-1.041742325e+02
141,1420008695.652174,-1.042289352e+02
142,1420013043.478261,-1.042316055e+02
143,1420017391.304348,-1.042317352e+02
144,1420021739.130435,-1.042368851e+02
145,1420026086.956522,-1.042022858e+02
146,1420030434.782609,-1.042440872e+02
147,1420034782.608696,-1.042648239e+02
148,1420039130.434783,-1.042159958e+02
149,1420043478.260870,-1.041696014e+02
150,1420047826.086957,-1.041643906e+02
151,1420052173.913043,-1.041276703e+02
152,1420056521.739130,-1.041295471e+02
153,1420060869.565217,-1.040600891e+02
154,1420065217.391304,-1.040958939e+02
155,1420069565.217391,-1.040960236e+02
156,1420073913.043478,-1.040097046e+02
157,1420078260.869565,-1.039858322e+02
158,1420082608.695652,-1.039028244e+02
159,1420086956.521739,-1.038984985e+02
160,1420091304.347826,-1.038079758e+02
161,1420095652.173913,-1.037853928e+02
162,1420100000.000000,-1.037774353e+02
163,1420104347.826087,-1.036961441e+02
164,1420108695.652174,-1.037520523e+02
165,1420113043.478261,-1.036875153e+02
166,1420117391.304348,-1.035960999e+02
167,1420121739.130435,-1.035130386e+02
168,1420126086.956522,-1.034983444e+02
169,1420130434.782609,-1.034245834e+02
170,1420134782.608696,-1.034776001e+02
171,1420139130.434783,-1.033799515e+02
172,1420143478.260870,-1.034022980e+02
173,1420147826.086957,-1.033576660e+02
174,1420152173.913043,-1.033294830e+02
175,1420156521.739130,-1.033129578e+02
176,1420160869.565217,-1.033026886e+02
177,1420165217.391304,-1.031386642e+02
178,1420169565.217391,-1.030747070e+02
179,1420173913.043478,-1.030548096e+02
180,1420178260.869565,-1.030590744e+02
181,1420182608.695652,-1.030118942e+02
182,1420186956.521739,-1.029117813e+02
183,1420191304.347826,-1.028698502e+02
